공원,소재지,섹터,제목,언론사,보도일,링크,수집질의
소백산,충북·경북,탐방시설,"소백산, 6월~8월 '탐방로 예약제' 실시 / 안동MBC",안동MBC,2026-08-15,https://news.google.com/rss/articles/CBMickFVX3lxTE9yN0Z5dGxhZlVVWE0xa0JPSmhxN3dfb01NQURJRnoyT05pOVRmOGFsSnZjeVN5Q29CNDVMVDBaM0pZc1lEblNDMFZ4c0M1MU9MT0k4S1hKbTc1ejF6RzJoMTlzZTlFMFBpenVObzlLdG8xZw?oc=5,소백산 국립공원
덕유산,전북·경남,기타,덕유산 당일치기 코스 추천 BEST 5 — 2026 최신 가이드,네이트뷰,2026-08-15,https://news.google.com/rss/articles/CBMiU0FVX3lxTFB3Nk9rbF9IT2loSUFqYjFhRXJYVmRxdUg5bEFMbmRqM1F4NVFuT0xzZWM3S1VPeUJkVEF3X0QzVE1QbUJoZmRfUmVLZjFCZmZTY0pZ?oc=5,덕유산 국립공원 생태
(전체·공통),,기타,산 정상에 새긴 '대한독립'…국립공원이 기억한 광복,이투데이,2026-08-15,https://news.google.com/rss/articles/CBMiVEFVX3lxTE42TDlscDdjQzJ2aDc2RzBFNHp3d1lqUWNyM3VmT0t1Y0ZVVjZfNUczVzFHa2wwRmNGYTFJOXdCWXJrTXIzSG5BeGhsbkhVX3R2ZzhtXw?oc=5,지리산 국립공원
(전체·공통),,자원보전,[칼럼] 국립공원(國立公園) 자원의 원형을 지키는 디지털 보전관리,정필,2026-08-15,https://news.google.com/rss/articles/CBMiR0FVX3lxTE9nUUdTUDY0QVhNNkhYQmZnbFA1eWJGNWxVM1k4LURVZmlVMVVIU3NaaHBMemVfelFHN2xDUlRpWjFOSGxsRmFv?oc=5,지리산 국립공원
(전체·공통),,기타,‘제6회 국립공원의 날 기념식’ 부산 벡스코서 개최,ecojournal.co.kr,2026-08-15,https://news.google.com/rss/articles/CBMid0FVX3lxTE1QaVllYWRNWHRtYUFyZm9VWVNqeXJZNXd5TUtzMjFLanU0Skg3YmdjUUIxUmZTb2pYSE1TbzF2UjdTeUJLV3NPMHEyWk9selFYZkpPTEFkVTluanJuQ2xPXzY2WjhaNDZaYnBueU9CdkNzSUVpRThj?oc=5,금정산 국립공원
(전체·공통),,기타,"""이름 없는 독립운동가의 재조명""…'국립공원'으로 거듭날 효창공원",대한민국 정책브리핑,2026-08-15,https://news.google.com/rss/articles/CBMiiAFBVV95cUxORVNkNUU5YUZvVkVhdkhjbzN2bTlTUW9wNzhTZnJnNVFndUNVNGVmUEJTMXhNcDlvU1ZDYjBlQzZ2OFdfTU5xMzljUjhXeHdDNmxONWxrejU2MkhxTWVmWWlPcDRnOS1WR01NYmtFZWV6SVFXWDQ3aTNBbkpmX3RHdE94SmF0WTFO?oc=5,국립공원 정책
한라산,제주,기타,"한라산국립공원 박원철 팀장, 감사원 모범공직자",jejumbc.com,2026-08-14,https://news.google.com/rss/articles/CBMiT0FVX3lxTE0wT3VzU3J2b2RVLU13MjRwbVJRUmxTMzB1MnRWTlppUVJwb28yVHAwOV9Yc0lUMHlkRTRHb1dlSm9nYkdGcUlCTllReGN4RHM?oc=5,한라산 국립공원
팔공산,대구·경북,행정,팔공산 국립공원 승격 토론회… 9개 기관 업무협약,환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQQlNTeFdhUmtDQTFmYzRSa3p3X2pWVmNPQlk5UnFEUHBDaTQ4Y3h1S3VYZUo0am85cE8xczUzOEpGcFRVa1czRFVaUDBoeVRISEtSeC1rNWlNRTJqVEsyM1FIRTRHVDBhbnRsTVBPUVJqRVVIbG5adXdwUFd0ZDZLdWtKaEVrcnR1RVBJ?oc=5,팔공산 국립공원
팔공산,대구·경북,행정,"팔공산, 국립공원 지정 위한 평가 추진",환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMilwFBVV95cUxNYkZPWTVlV0FVaExCOVEzemRlcXBuT2NtLVFva1dxN1RSVjVhdmVYV2FxUjJCQ0phV3pyQ3I4MGFmRUFHRExuMEVYcm5iSldnVE9QRnVrYUlaNkJTZlQyd1VGRnAyQ0RPdDZkUHZnT3VqemNadHRzUnBQeEpUZVVwT3VTdHV6bUViYXh2N2JWUTlodmJFQmw4?oc=5,팔공산 국립공원
지리산,전남·전북·경남,기타,지리산 천왕봉에 새긴 독립 염원…국립공원에 남은 선열의 흔적,연합뉴스,2026-08-14,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1OR0N4YWJNZG93cEUxZUFBbWJfTV9rTWFLR2tSQXBBa2ZmTkhDLXNaX1dJenZyNVZnaXRDU3BVSFZCREltOUxDTVNSdDhnZzJ3VG9mbXVoUElnY2_SAWBBVV95cUxOYVlZOVFOWWlvd0p6bWltQ2lDT1hJTmFHekxoRXdxTkRpTVRMdGcyZHNhSlNXQmsyaUl6Z2d6Q1o0MFRUMWJ1SEpGaW9kNk10TnhMX1lOYW4zN0daT002dEU?oc=5,지리산 국립공원
지리산,전남·전북·경남,행정,"국립공원공단, 지리산·북한산 등 국립공원 내 독립운동 역사문화자원 재조명",디스커버리뉴스(DISCOVERYNEWS),2026-08-14,https://news.google.com/rss/articles/CBMickFVX3lxTE8xRzlwQ1BiNExhVnFTQXlVakE4cW5VS09sRVpjbFpLWEgwTzB2c1FnOFZaVHNlOHVoTHBQMDUzc05oSG42OERTeGU1ckRLUEM3bmJJWEo1bGJYazViZXBsYVRSWHpUZW5mREd5UWJoVW5udw?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,지리산·북한산의 광복 흔적…국립공원 독립운동 유산 재조명,뉴스1,2026-08-14,https://news.google.com/rss/articles/CBMiXEFVX3lxTFBLZEcwUFBSdVl2TXNsT1YwdUI3UzdfTGZKV3ZRUFR0N1NJaUFCVTc1NTAzRlJveTBwY1hEMk5kYkcxWmNNOUVlZU1EdzFuNnpDMjFIcjdPV3NIRWF40gFiQVVfeXFMUHd1UlNIZG5HcUZnMVBKaTFFM2RJOWc3Y2xLbWRxcGdlRlA1bmVnbUdGeDJSaXlUTnRtUlVJcmNYOXQ3aDlUUDZ4RFlCWm9HV094N1VpVHRDQUdTMzlWYTVYU3c?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,광복절 맞아 지리산 천왕봉에 광복 바위글씨 등 재조명,뉴시스,2026-08-14,https://news.google.com/rss/articles/CBMiYEFVX3lxTE83YnhwTlhnLVB1RDU1VDhVMjVfT2RoTkV1NjN6UHdkd1FCUDBsZG82UnE0b205RFRoMklGNW55TzJ5c2tFVlA4U3B2T3hKT3FCbGpPdkFhazNHM1F1cDdHcNIBeEFVX3lxTFA3aXBnYzdPVG5UNjN1RFBiQ21WdDFTZ0hHNUk2ZUFQWHJlcUtTd3N0aG5RMWhkc2o1WW0yTTNZSlVlcFBWNU5aSnd2N0NzaDVDLXNPZ2c3Q0ZnYnVsQkI1Ty1PNzNzemlhY2N1dDZrZlRhQ3dVU2YxXw?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,지리산 천왕봉 바위에 빽빽한 '392자'… 100년 전 그곳에 새긴 비밀은,한국일보,2026-08-14,https://news.google.com/rss/articles/CBMibkFVX3lxTE95VC1BZTE2YVJLb191LXZFYW5NVkdXNkJHMDJ4QldzR2FuUENhRmUxS3hLRll2SVBBTTZwbE5rdEJfZGluOTdkZkpScnRaeEFudEpZckVQSExrU1NuVm5SR21aUExnelMtQWxlOFNR0gFzQVVfeXFMT200R2ZtdTVrNExBbU9zTkJoZTBVWFdzb1lRanZqdWhiS2Z5dWlFb05Vdi1naWlGNWFhUzRmLTFFczg1WjlWMmtiOWI1SlZTMmxFb2p5M1ZFS2E5OXNBZXJacDR3V3huZER6YXJuRzZZeXJWZw?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,지리산 천왕봉에 새긴 독립 염원…국립공원에 남은 선열의 흔적,네이트,2026-08-14,https://news.google.com/rss/articles/CBMiU0FVX3lxTE1LYmVVcl9vUmFiYWdHYXl2Z1BwV3ZVU1lQbExXUnpWN1hNSXdqNUo1Ny1JbmVxUDZMYUtKb21fVGR2aWxac2s2N2NaU2QyU2JnQ3hn?oc=5,지리산 국립공원
지리산,전남·전북·경남,기타,"지리산 천왕봉 바위글씨 392자, 북한산 석굴암엔 김구 선생 친필",한국사회복지저널,2026-08-14,https://news.google.com/rss/articles/CBMia0FVX3lxTFBVa1N4bXFPNjhPWlNKb3VBSWxIbjh6dWpSZmNzbkxPSE5YWTM0VkdfUGpFYm5PbVJENTNxbzJmbkVSOV9PZnVsVWNyS3FURmVNLWpsazdSZGZZaUowaWxmV1RxNXlBZEx3U19N?oc=5,국립공원공단
북한산,서울·경기,기타,광복의 함성 품은 북한산 바위…국립공원에 새겨진 선열의 ‘독립 염원’,경기일보,2026-08-14,https://news.google.com/rss/articles/CBMiW0FVX3lxTE43V0tJTlVjSzl2NnVxSWh5dnVuSlV5TjFucmhWb21VaHMzR2RsSktJeGtDTlVSZ05lZDBVSFNHLVhHVzIycUNjTnJRaWJxSWFjZ1FCUW9BRXdseUk?oc=5,지리산 국립공원
북한산,서울·경기,기타,북한산 백운대엔 3·1독립만세운동 알리려 새긴 글씨,연합뉴스,2026-08-14,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBTdV9ZWThJaXA0X0toLTRaTGNYeVlRLUtjM3lGaUc0eE5TbFR5Vk5JSHE4S25WSmFpS3A3UHBwZUFVZ2pVUFQ3QjB0V2w4M0pVU241OFk3WjU1bzVGa0wzS9IBYEFVX3lxTFBTdV9ZWThJaXA0X0toLTRaTGNYeVlRLUtjM3lGaUc0eE5TbFR5Vk5JSHE4S25WSmFpS3A3UHBwZUFVZ2pVUFQ3QjB0V2w4M0pVU241OFk3WjU1bzVGa0wzSw?oc=5,북한산 국립공원
북한산,서울·경기,기타,"[단독] 산악마라톤 대회 금지한 북한산, '서울100K' 허용 논란 [오마이팩트]",v.daum.net,2026-08-14,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5CQ2IzblpBVnU3b1VkNGUxT3FRYlc4VFIzRWpwdlhBdl9KbTdGWUlMbkQzcE9JR3VaZWxubW9HQUJEeWlHcVc1VTZhVQ?oc=5,북한산 국립공원
북한산,서울·경기,자원보전,북한산국립공원 분묘이장 사업 추진… “생태·경관 복원 앞장”,환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMid0FVX3lxTE9tNjgzVWdZWEJWdWltX24zTWc2MzBnUUNTNFRzbC1oT09WdWFuTjVVa09WeURJc2lJUVowNDlDbXlBeU1Jem93Z3FidGFuUTM5MUZ1dXN1cjlZZWM3czJ3WWx1dDJGUjctUDNxNy16d1VoNmVyd2NN?oc=5,북한산 국립공원
내장산,전북·전남,기타,내장산국립공원 파크골프장 계획 논란…환경단체 “즉각 철회해야”,환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMixAFBVV95cUxQQjRES1BxZEhwSXZPQlVXVGotaDkzSWxESkNSYmlHRnNOaWVwQ3B5TncwelAzeXVkekpiZjZVTGxMYmkwa1lCNWk0WktYanlObjdsX1ExMUJzajRDNENibTNmYVZ1a01EQVdzczBkSkFNcmdGOTZuQjM1MnNvWjQ3dDg5WnRidGhUU1NtZDFwX3BMU1pJbkVZcnFhRVZfdHRLVVJ3aDU1LWowaU1LTFhneUN3QTM2TTBsSWJnaWxsbWpEdXhI?oc=5,내장산 국립공원
금정산,부산·경남,행정,"금정산국립공원 지정 기념식, 오는 20일 부산 벡스코서 개최",환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMifkFVX3lxTE5KczVIdG1KTk1idkZFejdFNGdMUHRlUUI5alZRWTg4MkNTQkVra09TcmtOV2dLc1BNY3NsY2tHVm95MVNsR2pydjUteHRCUzhrZWRKdnFfNW0xMlNSTXRxc2hYbENEUm1ZM1V0Rzl6bnh6cE1PTWlIcUlOZWY1Zw?oc=5,금정산 국립공원
계룡산,대전·충남,기타,"건협 대전충남, 계룡산서 플로깅...“건강과 환경 함께 지켜요”",디트NEWS24,2026-08-14,https://news.google.com/rss/articles/CBMia0FVX3lxTE1uRHcySGxUSTZfQ3hFQmtaWFJVSUk2MVFScDZkMHo5ZkZsNlhjSWVyMVJPSEEyakhkbXBjVV9zczFKUUkwNzc1TV9pdjc1TXhPWE1mVnYtbndKd2lyTjFzQ2h5NFZKZEdlMnVn?oc=5,계룡산 국립공원
계룡산,대전·충남,기타,"건협 대전충남지부, 계룡산 걸으며 쓰레기 수거",타임뉴스,2026-08-14,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1tSk9oSDU5dmZENWJJR0xwd0NfY3Q2djFPZ3ZOY1B5WmNHQzdkdlg0Szc2VWhOOENQTGJ5djdZUHk4SFBDQmZIb1BGUldLTlozbnlLeQ?oc=5,계룡산 국립공원
계룡산,대전·충남,기타,"건협 대전충남지부, 메디체크어머니봉사단과 계룡산 국립공원서 환경정화 봉사활동 전개",아시아뉴스통신,2026-08-14,https://news.google.com/rss/articles/CBMiYkFVX3lxTE1OaDFUM2VMUllsWXdtMGdfd1hGY1JpajB3TWpxSGFYanNoNlZYSnZQRjdUbExfUFFIRWIzdjI5M1J4WjNDWnBRRHQ5VDg4TlRZQU05bUowU2VlUmtCNms5SFVn?oc=5,계룡산 국립공원
(전체·공통),,행정,국립공원에 새겨진 선열들의 독립염원...국립공원공단 3D자료 구축,BBS불교방송,2026-08-14,https://news.google.com/rss/articles/CBMia0FVX3lxTE05WDdIMUZ4Qi01aEVqUEJXUF9QbXNJQTNoanpodkY5Vlp4VHR0YzRCcUIzTlFGTTJLYjlleU16OGpmRGxkaWR0bGhjUkFMc1Fual9WUDV5enRqRUxjYnNaMVVzaWR3cHd1bEUw?oc=5,지리산 국립공원
(전체·공통),,행정,"국립공원공단, 광복절 맞아 독립운동 ‘역사문화자원’ 소개",전기신문,2026-08-14,https://news.google.com/rss/articles/CBMibEFVX3lxTE5PeXk3R2ctLWszSG1PczZlVlJvQVZsamF4cF9lanUyU2dfa2JrOThkSnRkQnlBRGtUWUxjc251VnV2QjVGb1dFTmVRSVVKYzJrQzk5TzRwVXBsS0ZJczBYY3hod0lDNTBNY1d4S9IBcEFVX3lxTFBWaFBlbkE2cFZraDJkQ0tFY1gyc3F5ZTIwUVZIMjFNSGF5V3hZQS1WV0EyM3NnYXBLLVZmZVNoYVYzNUx2eUVBaERMM0E0R3VjeXR0blVsVEtJMmFMd0VSdUNQZ0wzUWtYczJqd2YzTno?oc=5,지리산 국립공원
(전체·공통),,기타,국립공원에 깃든 광복의 역사… 선열의 독립 염원 새겨진 흔적 재조명,한국미래일보,2026-08-14,https://news.google.com/rss/articles/CBMiaEFVX3lxTE0zbGFMdG55RVN0Q3pqYjFGTWoyYXJKNjNXa1ctTFZWMmo2eTNlUHBzYXY1V0dKT0k0NXU4cHNYZUJvSURMVUdLQXQxM1hoRTYtVFF4eldkZDU5MnR4T3VLWC1rbGlQRVE5?oc=5,지리산 국립공원
(전체·공통),,자원보전,"국립공원공단 ""국립공원 내 '순국선열 역사문화자원' 보전 기반 강화""",도농라이프타임즈,2026-08-14,https://news.google.com/rss/articles/CBMibEFVX3lxTE9UMUxFek8waWhRY3VQcEw1WnRpVGEySlVXV29uQVdEcDhKOFNWbG9qOExBd3BTTkpHdWhpUmtqQjZOZVZzZ2VmMEZsZW5XUlFBdjRqb2Q4RzF5RW5vdWkwbEh5UnZZYll1QjV2Wg?oc=5,지리산 국립공원
(전체·공통),,기타,'국립공원에서 만나는 독립운동의 흔적' 광복의 의미를 되새기다,인디포커스,2026-08-14,https://news.google.com/rss/articles/CBMiQ0FVX3lxTFAzSDR1TFNEN201SnczRWFmRTFxOWs3TkRoVlVtd1VoMFRjbmVuOEc1UUdscWVUVmFNd2FEQ0lQUnFMSFk?oc=5,지리산 국립공원
(전체·공통),,기타,김구 선생 필적 암각문 등 국립공원 내 광복을 기린 선열의 뜻과 역사 재조명,헤럴드경제,2026-08-14,https://news.google.com/rss/articles/CBMiVkFVX3lxTFAwRHlGbVUzblRvLXU5bkp1dGR5MVh5WldCTkMtUnBxbE93R2owUlJxSjVGQU1BTjJLNk1CMUJqcDV6dFdfUjBoTFlxUjdaVl9LSHFnZFN3?oc=5,지리산 국립공원
(전체·공통),,자원보전,"국립공원에 새겨진 독립운동의 흔적…광복 81주년, 역사문화자원 보전 강화",뷰티경제,2026-08-14,https://news.google.com/rss/articles/CBMiakFVX3lxTE5jbU5zN1dFLWxJZUV1YTFablAzYlpsendCZ09Jb3RaX0dpdGlGbEk1TnEwYVNIeVM5bWNmSU9OUElrdXFJSWNEcjRsY3FWV29TSkpRYmVmSTdSZGpWUjhya1pTLXVOOF9LdlE?oc=5,지리산 국립공원
(전체·공통),,기타,국립공원에 남은 광복의 기억,환경일보,2026-08-14,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5VQnBGZlFoeWtDNnk2dXc3VGF2bWhXVHFQakRXQ2JNdUEwRjRVZ013T2I5SVhTYndHT3Z4ckx4U3FwVGxnRWxnWVpCZUotb3djU2Q4UnBJSkd0NEZ0bHJSdkJkbERxMURI?oc=5,북한산 국립공원
(전체·공통),,기타,[포토&뉴스] 국립공원에 남은 독립운동과 광복의 기억,우먼타임스,2026-08-14,https://news.google.com/rss/articles/CBMicEFVX3lxTE9nLUswLVpDTTFRVlpCaXNvazRTdFJBdndQdnNTUEV0Zi1WT3hjOTg3UHJCdExJUTdyaWhoeFA0Q2ZBZnJFM3BJQko2X1JqNmh3czktMUFoN2pPVUpBcUE0dFptajF6bjJvUHdRc2N2VXbSAXRBVV95cUxNNDhlem93X1BMRFdCZ3J5ZEg2Tk5rekpvbmQyekFDdjE4UkE0cXFuZGkxb1lzeUpIN2d0Mmp2NWpLaHIyYXpiMkoxQkFEZzhoTXFpYmQtbjVvb0tSWV9TZDgzek5aLWhPcmY3RG5IVFFLbzVDVg?oc=5,북한산 국립공원
(전체·공통),,기타,국립공원에 깃든 광복의 역사… 선열의 독립 염원 새겨진 흔적 재조명,서남투데이,2026-08-14,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1jZENDelFHaHh2OUdhZUJMTWNybzN4endqZEN4bmVDUGdtOXFrcXRzNmYza1NNNWVXYzFwM1VDdkZxeFYxVzNGT19xY09hd3RxNk50UGlMbDl1UQ?oc=5,북한산 국립공원
(전체·공통),,기타,"다가오는 광복절, 국립공원에 남은 선열들의 흔적을 찾아서",핸드메이커,2026-08-14,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5laDJZT3NjMFp3alduZTJteks4OXlwTllTZ19PSnAzOC1ISDFVTTBBcWFGLUo0OWNDWkxscUtDR054VmdaMkZlc29IZGpDLXA5blBJdW4zRGJpNFBrd05GZUFybkEyWUXSAWtBVV95cUxOdXI5NGJhTjZWQ1RfVU52eXBNSzhqa1N5UVpWM3lKaVZCVnQ1LWhvRXN4WlpBTE1JcDF2REVuX2c1VllCM0RDR2dBOGdwWXdDSGRIdGx0VGxYd1NwUmRyT1RPMEJ1MXAzdmIyMA?oc=5,북한산 국립공원
(전체·공통),,기타,국립공원이 카드결제 기피,원주투데이,2026-08-14,https://news.google.com/rss/articles/CBMib0FVX3lxTE5oWUFrVmZPb3pzSEhsZzUyTjFqMERVMVlMM0VQR3ppQXhwdTZyUjVab1NNVzA1WWs3SGZoVV81eE9Tc2lTLUFMMjNIY0tpSER3bUNBN3lWTFdKWDM0anZJbDdvYjdMM3oxeFFWTTVDQQ?oc=5,치악산 국립공원
(전체·공통),,행정,"국립공원공단, 공원 내 독립운동 역사문화자원 재조명",브릿지경제,2026-08-14,https://news.google.com/rss/articles/CBMiWkFVX3lxTE50cHFmRUZjRnVmb2dPbnZPZ1didkpUUV90T2JadXVIUVEwbmJuSFFEQUN1ZEJoWGFJTHN3T1otU0dOMEZZbS1JelFac2FFNXFUcnVRX0xQMnAxUQ?oc=5,국립공원공단
(전체·공통),,행정,"국립공원공단, 독립운동 유산 디지털 보존",dailian.co.kr,2026-08-14,https://news.google.com/rss/articles/CBMiowJBVV95cUxOSlhGTXNKOHpyY1ZoUnBVN043Z1RUR0RyQk12emt4dUVwVGJoN3dpdXJsd0xSZHVNblpPNUZac3ltSV9iZUNEM0pua0lNXzZPcmIwd21HbHBZQVNZSTVvMklWVVJwZ1l2TjZzbmNNVnQtc2tSOGdMLUliTENuU0lTa2U2aksyZTlKeVRlc0lLR1JsZExnVElUSEpJclJydkpQMDFFZ09Mb0JQbl9taXZxRWs1X1NnQ29RZUZnWk83b0xqRGVQdWJkMTBkQS1WZ2xMNkhCUFg2MXJvZ3BGT2xVR0xNNEM2bEJmODQ4NVlxVTFTVWFsZ3JLZGd4cjNFWTZwQlFCMXRXQ044N3hGYjRuS3lMMnhhV1FYZDdKcDNmdHRaVEU?oc=5,국립공원공단
(전체·공통),,탐방시설,"국립공원공단, 멤버십 제도 도입… 탐방객 재방문율 높인다",환경과조경,2026-08-14,https://news.google.com/rss/articles/CBMiggFBVV95cUxPT1AzaHMzcnJQcXl6THlMMG1QMDdnRkJtQXpuTWs1elE4R2o0Vm1TS3E3RUZjMTR5aXdFOTYwVUc4ZWg1bTNUM3dFd3ZPRHRpejNnYW4wNjQ5Nlg5bHlDdEl2bmE1VFM3TGZGR3AxLW1HeUYzTkdkWDBoTW50b2VTT1N3?oc=5,국립공원공단
한려해상,경남·전남,자원보전,"한려해상국립공원동부사무소, 시민과 함께 둔한진총산호 신규 서식지 발견",거제뉴스광장,2026-08-13,https://news.google.com/rss/articles/CBMibkFVX3lxTE44c21CRndvZGV5UkozVjExSEx3TmRRMGhzb2ZEcEEtcDd2cmNhaTlhdHRadTJYU2drR21yaV81UDFnRG00SFc0Yzd5bFFLMTBpdEZMQld4S3MtZ3dXVmMxM2hRbVBGd0gzOXBhYjhB?oc=5,한려해상 국립공원
한려해상,경남·전남,기타,"태양광패널로 만든 변화, 한려해상국립공원 에너지자립마을 탄생",경남도민신문,2026-08-13,https://news.google.com/rss/articles/CBMiaEFVX3lxTE4tUWlzYXVEYXllYWdOWl92eFktSVhVVThCSnFNYXNnLWJtcWRFWGZ3eDlRUDR1eXBFWGlidVIxeEdnS0dHSFFCVGZ1Ym1zNzhUT1d1SDhpSHc1dEk0c083VU1QUHFxa3kx?oc=5,한려해상 국립공원
한려해상,경남·전남,재난안전,"“주민 안전이 최우선”…한려해상국립공원, 폭염 대응 강화",한려투데이,2026-08-13,https://news.google.com/rss/articles/CBMib0FVX3lxTE5waThPLW4zRkhOX29XX1R5bUw4Zy1TczZQOTVzam1oVmJkX1dYNUtuWFp0NGpLdmh6X1ZIc3ZRQVc0Wk1Ib0ZDdEp2NVVyN0h0bW85ZFBTOUl3U2tYUklYWUtaUWpRVzRERnVTYS1Odw?oc=5,한려해상 국립공원
