공원,영문명,국가,대륙,언어,섹터,보도일,제목,요약,매체,링크
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,French tourist dies in Death Valley after vehicle gets stuck on remote road,,FOX5 Vegas,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWmVjRHdYQnQ1UmlwMlRhTDJkWjlMZlZNNFBKb3NMVXdzVGNBLTRHLVNabko1V1YtZWxGOWtXVVI4OFUzbTJ4UFpsc3ktc2hjdThCOGhta0hyYUl5T1h4X1pGYVo2eXB5R0RXY1VyYmgxc3BnSFZqRlpFc1I1clJzeElKcjIwZ0ZWcGlxWWdMLU54RV9mSEZCbE13YmtXZTROR2Jxa0w0bno0QkE?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,68-year-old man dies amid blistering heat in Death Valley National Park,,9News,https://news.google.com/rss/articles/CBMivgFBVV95cUxOZG8tRkUtYUZ1ZVVtV1phakJBdC03MzlKVlVOYlRfWXdMTWxJdkNSVUNtbTh6c1labVg3NlpFX3U1REIyUXk2b1kwOHJWSWE1MDB3Vy1lVUxjbkpISEtIdHZ5amJOaFFGUWZqcHI0bWlaWFEtRmM4aXRhVE95eEhpVEdHaTJOTEFIUjBUUTNfTEVOYmg2bXVwd2xnZnk4T0xxODdjSEJoZG5qbTliczJqM2VLLWkxODMyZ2x0NkRn?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,French tourist dies after vehicle stuck in mud in Death Valley amid 116-degree heat,,KSNV,https://news.google.com/rss/articles/CBMitAFBVV95cUxOM0g5UnJDYVdqRE1nejVBZF9nMlhzZTVIdEpvNnVEZTZWTk1XTXZRdW9GS3BlYXlHVUFoVFVuT1RGV25zVGozbFF3bjVLZTByeHJ4WGxxSXV5UzR3eThFM3dPNkRjODZrRUZjZmxjS1FJaFZJNTRkT3pzaXFzQ0ZRRXBmWWxsWmFlTmg0eDJqaHFINnk3SFhWc0NyMGROelRKUzVkekVVR2FBRXZDVmxhOERuQkY?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,French Tourist Dies After Vehicle Gets Stuck @ Death Valley National Park,,Unofficial Networks,https://news.google.com/rss/articles/CBMitAFBVV95cUxPX0JpN3hEbUM3RFFSY0NDWkFwWFFSd0pOaTJBUnMzbjZSRlEwMm9mbVhEZ0NfVXF2Vmlack5XTF9iVXIxcUM0X1h4Snk4ZDV4SzlvbnRhVFlLbjc4TTdZNzZIcnJsLVplNGt1TXFXWGI2TDdYMk1laVpIWDgwMFdsZ1Q5NzdLdExTOURfVll4SmJ4QmZlXzBTZlloM0dsMXBpUFhsVzZ6Y3hRdHdQVi14UE1ZbVg?oc=5
데스 밸리 국립공원,Death Valley National Park,미국,북아메리카,영어,구조활동,2026-08-22,French man dies in Death Valley after walking for help in 116-degree heat,,Las Vegas Sun,https://news.google.com/rss/articles/CBMilgFBVV95cUxPMEtoZTZDbXA1OGwzNXk1eUlZdkc3S1ozVkVYNFdDWVRRVXF2YzZ1NEpNUkFYRnFlcTBYNy0xMFJtVE5qM0stZk5pbGdIMmFsY05PbDFUc202dXB1NlFlVGhBeXZpWW9PYXliUFNxN1FzTDA3MzhDRk5WLVZfM2d0VlAtSEVwaGZ4MzhoODNWelBscEZKbnc?oc=5
아치스 국립공원,Arches National Park,미국,북아메리카,영어,탐방시설,2026-08-22,Free Moab-to-Arches shuttle set for Sept. 1 launch with four local stops - The Times-Independent,,The Times-Independent,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNcEJWbUNRQ1pmRUZRVlJMU1lUV2h6a0ZVcmVrSnNjYjVBRU5oaUZVSWRKTHlZYU42MU9CMmk5bmttelU1XzJLVFJQUmxqRHVsYzhBdE5UdG5XZlRkSlNqeFMwZ3ZSbTZuZmJaRTZuWktXUW96c1dWTmNwZHhCeTJOcExwcHprckwtdVpXLXdOcDZIMER5ZTBSZWktVDc5Smx5eW5CVTZkZFNURmM?oc=5
세쿼이아 국립공원,Sequoia National Park,미국,북아메리카,영어,재난안전,2026-08-22,Groves of giant sequoias are in danger from California wildfire. How imminent is the threat?,,The Press Democrat,https://news.google.com/rss/articles/CBMiugFBVV95cUxQMzFHZU9UYmhGejFOWXFWQ3Yyd1psRDRJT1B5bksxQTF0eEkxU0NwWHFJNFNwSzlOVW9PZEtpUW5BajlCUXdjbEJRSFYyay1VUU4xMnFuNVRscXAwWWFmUDZWUU5LVlJRYmY1NGhva25vNmp0V3lfTmlmVUZVcjMybjkyR29lRGZVeGFscGw4WS10c2lOUGpyTFJNeElCbVE1bE4zWUpTTXlWZGdCUm9sSTRfYlpkV1k5N2c?oc=5
요세미티 국립공원,Yosemite National Park,미국,북아메리카,영어,기타,2026-08-22,UC Merced Celebrates Permanent Acquisition of ‘Four Seasons of Yosemite’ Murals,,UC Merced,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQY2dmQ3FjMnQtQkRCM2lpa0M2dWFyOGpIVl9BZDN4RXV2dGdIeVRKN1g1eHpua3dkTTZPM0hMRXBORVZ4SGJLeG40VDNnaE9pT3RRTFg4OF95V2w2VUdyb3JGYnFDNnVfOUNfblNCbWszTXd3TmhwWjUtd3BUb3h6UkpjODBibldubEJoVExLTEFvaWszaFVaVHZrY3hXMTc5b3p1eVBmbWlSdGJvSnJHeVRXQkFiV2JuY3kyYVpQbkU0NEk?oc=5
요세미티 국립공원,Yosemite National Park,미국,북아메리카,영어,기타,2026-08-22,Yosemite chef accused of sexually abusing coworker,,The Union Democrat,https://news.google.com/rss/articles/CBMijAFBVV95cUxPLXNjMURNWjNiRWpKNTRiVjBsOVMzUWwxOXcxOHpUOEI1Y2s0bjN5Vm9GQTBUMHFhdDVHcmlZMGhFbDFURTdQRnhMQ0o5YWdfbVIwUXczWk5xV3RnX1NXTE43WjdPQ3VBT1ZNVktSNFFjaVpNbFV0WHJJODB3RHZvOENhZEd2Z0k1b2I3dg?oc=5
요세미티 국립공원,Yosemite National Park,미국,북아메리카,영어,자원보전,2026-08-22,Yosemite Visitors Stoked to See a Bear (Hear Their Reaction),,Outdoors with Bear Grylls,https://news.google.com/rss/articles/CBMihwFBVV95cUxQVVNuYzcxRE50a2xRTWdPZTJsT29tMXI5dEdtZGVtc2k0V3FwSU9YbDNWWG9KaTNSemlLejZvY3A2cjRxWTd2OFdySkNRQjZRVWNWY05TZ2djVExSQk0zUV91blB5akpjVjZmTDktOTF5M2ZVc0V3LUc2T1lLdXhZQlJPTDRyVjQ?oc=5
통가리로 국립공원,Tongariro National Park,뉴질랜드,오세아니아,영어,기타,2026-08-22,Tongariro National Park and its volcanic plateau - Ad-hoc-news.de,,Ad-hoc-news.de,https://news.google.com/rss/articles/CBMipwFBVV95cUxPSU91NC03eDRZTVlHMXZXVUJJN1UxSjhxbS1GTTVyaWdKaU5jemdtR3JiaW5BNTA0Vk1kUG5jU1pNaXRJOW1EWG0xLWRnRzBKU0VtdXctbGpxUW1BQTZnTTBMR0R3NTdhaTFBMlVQS2xGbEtqNmNBNzNBRTlNRFZWbXktSVlsQ1N4NGgyRE5PUW1sbWo1VEtTWE5Tdm5oQkd3d184SkpZOA?oc=5
카지랑가 국립공원,Kaziranga National Park,인도,아시아,영어,행정,2026-08-22,IUCN flags land-use changes as threat to Kaziranga amid ESZ reduction plans,,The Assam Tribune,https://news.google.com/rss/articles/CBMitAFBVV95cUxON2dQWmZFaEZrWGdfRDF4RDQ1cVpwMDlYemFDbVpJZ3FuUnQ3eXlyX1lmNFMwRjBzcERRWHNvTTlLR2JqMElkTENYeHk2TmtuWVBWZUc3bDgzMFhmRDh0aVBsRmpwZFBfLWdkQ3U3U1lUQUhOdGxsc2M3X3VueHFEdllWVWRsS0RMdXFJWGhvdTAyRGdCNi1sekVDYXZBQXE4QkFWbWZhODVBajBtVTJLZ3ZTYTDSAboBQVVfeXFMTjRrVURhNjRGcUxwNkVNcEY4VkN0VU00dEppenFwbTBNNWViaWRSRi02eEtVSV9zb05WZTZQbThqaGs2T05tNkZpRWE4VV8wcWQwSHI0eGZ2dGJEWExhMjAyYXdlLVZJSWtkU2dCZGNkbmxwM052aVRxTElEdWpkUEhxRWMtVjBqUGNlZ2xweWNGWk55WGdyamN1WG85UzVpcjg5WlkxS0pvQy1FVDhyOEJwSWpxUHlLdTZB?oc=5
카지랑가 국립공원,Kaziranga National Park,인도,아시아,영어,기타,2026-08-22,Man held in Kaziranga with smuggled Tokay Gecko,,The Times of India,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPelc1NkNWcWxyRENUWjd6RFZhMjlxblNRWVh6MG5NS00wQk9obmdFQ2p3cVZNaVdBQXgtM3J6MW5ka2RDQ0t5VVExcUQ1Qk80bFR2VWFOdlFUandxX2V1TFZjQWREZHh3S2ZNOHBsUmFBTFdmS1YxcHI2R1MyejN4UEwwb2dEQUJwcTZ0U3JHeURpQk1qbGo3c1dBdVJILXN6LWlGdWxPLUMzeTRlTkJsS1FOTHZTOWxsYlVPN2FQMkvSAcYBQVVfeXFMTVlnd0E3a1ZzWEJ4WW1hTkpEUGhFQ1F0aFU0UWllQ09FQlFrc0hEUEFpTkI5eVJYVW91NGlUeEw5dDZsMmJiQUlWT3FOcHlLRGUtQ2pHV1AweDNWeHpPLTdQaUMxaDlQSUJFWXk4QWFTX1VoQ3V0YnFiS0lJOHVkc2VESDFNN3N2cVpjb1ZzMGxibVA3eGxUSTdIbDdremJibHBoZnJPd0tOVzhWUU8zMXRxejdnWEQ2X25LZG5LdlkzNlVramd3?oc=5
킬리만자로 국립공원,Kilimanjaro National Park,탄자니아,아프리카,영어,행정,2026-08-22,Tour operators renew opposition to Mt Kilimanjaro cable car plans,,thecitizen.co.tz,https://news.google.com/rss/articles/CBMivAFBVV95cUxQLVhwMWl1SEdUMzRLSTB2M003VGs2MFZNSDdFWk44VnBneE5BWGNYU1duUmZwMU1hSFZHc2hhY2tMa2Jydl80cnp5TFBkZXQ3OVRSMGduQ0N1Z1hXNVpWcTVUX0hhV1IxNjNhMjB2RHVzQmhhUUNXMFNmR0RWQjZkS3pPaFJ1dDhQNnVsZlFZaURZek9hYWszUVoxWUpqWjNYWE1ZMFBqZ3FuT1NDZHAyVEgycUprVlQ4NlplcQ?oc=5
글레이셔 국립공원,Glacier National Park,미국,북아메리카,영어,자원보전,2026-08-22,Glacier's Highline Trail temporarily closes due to bear activity,,NBC Montana,https://news.google.com/rss/articles/CBMingFBVV95cUxQRmY5eDRwZFhwUEg3V0E2cDQ3Y2VvOGZxNmFXMGZyZmlqUmVWM2doMFFHYXRmX0FHVVhoSmJXLXRQX3E0ZjVNaC1mZlhTRzd2ZUtiNE9EcTREcTNkTkRpUXpoTEV3dExORG1kbnkxN19VV3BiYmVYM0tWYnNLYWdoVjNlRTJ3RFlEdFJETklGNDFxVHdNUWZUVm1xMU9QUQ?oc=5
글레이셔 국립공원,Glacier National Park,미국,북아메리카,영어,자원보전,2026-08-22,Glacier National Park Closes St. Mary Campground to Tent Camping Amid Increased Bear Activity,,Flathead Beacon,https://news.google.com/rss/articles/CBMiywFBVV95cUxPWFRZYW1WbHhmN2RlU3RRdTE3R1NOS01EY2xLa0JhUGJELW05WUtWSW5uTVlTNjZzQXBPNWRhV0ZIcGVpVld1RkJXQlhQNG1pc3hYVGJaR040YlNoSDhsUmtnbFZDRHpZY3I5LVRWN2pRYXB4NVI3UjhfeF9RV0pQMlpSRktwLWRRbXZGZ2NkTTJDcE5adWxudENaVVpEQTVhY3VvREU5MDN3QUs3cDhUaVR2WWRpb0JsNnZzbjBpVjNYemo1SUZBVmlFRQ?oc=5
글레이셔 국립공원,Glacier National Park,미국,북아메리카,영어,자원보전,2026-08-22,Glacier National Park’s Highline Trail Closed Due To Bear Activity,,Unofficial Networks,https://news.google.com/rss/articles/CBMirAFBVV95cUxQd2RJR09OZlJDaXpNSk5uT0Y1QnlHSHNzYWZVMVlSVEd5OGJDOEgzcm1nVTJMTkdsVmRMT1F2eFMtejIxSkt0RUtZb2VDU3pJTWpXX25TelphLXFldHhIdWNsNmIwREJTRWpsQ05WcWNtQ2hzWnFaMFVxd29DZks3U1RpUWEyUGtfMmJmRi1PaW1MX2dIRVAwbDdUU256enpiRXRnQ1NtcHRvaHpX?oc=5
글레이셔 국립공원,Glacier National Park,미국,북아메리카,영어,자원보전,2026-08-22,Highline Trail in Glacier Park closed due to bear activity,,KPAX News,https://news.google.com/rss/articles/CBMijAFBVV95cUxPU2QyTEtGZ1B3UUpYT0xiZHRMTlkxZXBwS3l5dkx1aEVWck1zLVMwZVphQjQyS3g0cUxaOWZmanF4VDk2VVdWdWtKT25uUFRiQk5ZUGt3RXN3N1VoeUVoUlhlM200NXdfNzJPWnZaTWZnaXhlMkxudE8yLVE4MlRtOUszT19yRGxTOEFBag?oc=5
글레이셔 국립공원,Glacier National Park,미국,북아메리카,영어,재난안전,2026-08-22,"In Glacier's remote Goat Haunt area, summer floods knocked out electricity",,Billings Gazette,https://news.google.com/rss/articles/CBMingFBVV95cUxNWldMWDdTbWVVaVU1RGxFUXN4TUpiTmYyRkZNWkdjWFp0dXBSR2ctTEdZRHZLeWVYT1hOaWRBdmRqUENkVXBOZVEzdzhINFphR25NUXlNOHlBOExfbHRVNVJHRkRHdm1vWTAxYVc5M0l2dndyUTBJeTFsNVNpb0xyYllHMVFnZ04tYmVXWFpiRnhtbWtENDZBd3dnUVhWdw?oc=5
레이니어산 국립공원,Mount Rainier National Park,미국,북아메리카,영어,재난안전,2026-08-22,"Low humidity, high temperatures complicates Mount Rainier firefighting efforts",,courierherald.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNVWlOS3RJYzQ4dUR1SjF6bUFRdkYzN0xYdVB0NjQtS0w2Tlc4VnpScVFjYW5lbHhicUYtM1ZVTHJpbGdqRXR2ZXVTSC1iYUUtbERyMXg5QjRPY0ZZV3dwa0ZwOEc2VHN3YjNDTGllRWVtX3Qzem1wY3drWWpaNXAyakJvOTdIT0psMkxyazRSWFdZQlhSSmJJVktrUmZnVEZvZXJjcGt5UnZicVRIYWlQaWRuOGg2ZDc2X2pn?oc=5
레이니어산 국립공원,Mount Rainier National Park,미국,북아메리카,영어,자원보전,2026-08-22,Mount Rainier Tourists Risk It All to Crowd Around a Wild Black Bear for Photos,,Whiskey Riff,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQd1M1REliTzlid1dMYzFSYlNSREVFRGVkenhIUUpTOGRzRm5vWmFabzBiY05tbk9mcmdTMWMwY1V5ZVZqQnVOSWVyMkFyWFBPWWtPaHpWUkl5ZEtfa2MxZlZiZjZWOHJXX0hjLVVLeTRoZEZYY0IwZG55aTlscDVVRVJCQUxFY3Y2cER1SlJELXEyZzgyWFFwMU5ueFlpNnlKdENkdzhFR3c2ZG9Kd3dvdFFmLTg4MkJ0TFhZ?oc=5
레이니어산 국립공원,Mount Rainier National Park,미국,북아메리카,영어,탐방시설,2026-08-22,Mount Rainier's Grove of the Patriarchs Trail is coming back! Here is the Plan,,Yahoo Creators,https://news.google.com/rss/articles/CBMizwFBVV95cUxPV2hxa0g2LUlYc2dpVl9aM3hNZ0ZCSk1id1JWMHpVeUoyZWhVQ1VHeDM3cW9yMGxkVjl1WlIwV0xacE5RbEpzUWtUUjVyMTJUU0JvTkxWYXFuWVR1VldNWmU1VkhZZXE3Rkc4WWc5dDhkMFlyVDVTWnVZRHExcmNKWFR1OFllbUtROGVmVldNMWEtaTJUYWcxTzlYVnBWVmRYcjc3ODluUWtHZkNUVDlBdjd0bVVlb0dXV1NDaHh1S2pSSDRDNk1fU0c2MDJMNVU?oc=5
밴프 국립공원,Banff National Park,캐나다,북아메리카,영어,기타,2026-08-22,"THE 'G' IN GWEN IS 'GANDA' 🏔️🧡 BINI Gwen enjoyed the scenery of Banff National Park in Alberta, Canada and shared her snapshots that she post-produced. ""[A]ko nagtimpla nyann IM SO PROUDDD😭,"" she replied to a Bloom on X. (📷: Gwen/Instagram)",,facebook.com,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNUWZhWGFsRDNXRFAyNmxIZ0ZYYmV6ZjMyblhLY1hFLVRNeUFJZm1Idm5ES0g5dF9MVXVzZlN0MVR2RkM1em1LcnBoWmxrN0VUVUZZSjdCVlJkek1tNFZIVmE3ZUc5bzlTNE5KVDMzSU5LaU42Q2taeXJFTzQteS1pV2tvMGJaRHhFV0xITkpHeVZSeDRYbjVJREFCeDZQMWJCM29PYU14LWV3c3F4OERwX002b1hzY3FBYU5zd2UwQ3JvQk5YUG1LQXBOTDR2TGRfZ1JiT2lxOGVqNjh3MkRmQ25R?oc=5
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,영어,기타,2026-08-22,Bison Fight Erupts Into Multi Bull Brawl @Yellowstone National Park,,Unofficial Networks,https://news.google.com/rss/articles/CBMirgFBVV95cUxNYzlHTjVZdFU2UzQzSkh6eEc1NVI1NS1EOHFVbmFLdG16Y0p4c3dpaFVPVDRXeTJJT21IZE9IaDJqdTJxdjJPVS1pZTF6RWVZVjlJazZNNWx4STczYTJUSHl1YmUwREdPUlhTQ3NTb3ZiOHBWYnFTZHczVGdYendjWG90ellKWTV1b1UwcWVnb28wUmhWTWJqWG1TUExUajFEUUFzWVJ5MHh6cUhrNFE?oc=5
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,영어,자원보전,2026-08-22,Postglacial ecosystem development of a hydrothermal landscape in Yellowstone National Park,,Billings Gazette,https://news.google.com/rss/articles/CBMifkFVX3lxTFBYTllCZk1Ka2dDb2ZhVkZVNE9UNVdpVHRjRFVoR2I0anZTcVQ3b3lsQzBKTlVQeUhXZFYxaDFIQlFEVDNzcHJvZEM5UzQ0RXJKcDJyeEVoTjVZSWRCeDI4M29FMC03YzY3NHFuOFRCQzYxMXVDVUI4TEg1NlFKUQ?oc=5
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,영어,자원보전,2026-08-22,"Yellowstone’s oldest wolf-pack lineage left the park after an unusually mild winter, and its 12-year-old matriarch is now raising five pups in Wyoming where wolf hunting begins September 15",,EcoPortal.net,https://news.google.com/rss/articles/CBMidkFVX3lxTE9fcGpBb3lxTGxrRXBxeXdoOWxpUHgtYUFhTWExV1NQNTZYSVBzYVFUWDkyS3BjeHN4bHlncVY0Q0pOcUI2VzhNRjN0Y3dDZktlN0JGdGxKOGstRjM3VTV4NzN6bnhLLUZ6ajV1NFd3bUhrR1RkX2c?oc=5
옐로스톤 국립공원,Yellowstone National Park,미국,북아메리카,영어,기타,2026-08-22,10 wild facts about Yellowstone National Park that sound made up,,Yahoo Creators,https://news.google.com/rss/articles/CBMivwFBVV95cUxQNVdDQVhqeElDQURHcFBmTE9WX2NHVzQ1bXhlWmJPTGdWOW41N0JWa3VpY00wNFE5cVAyXzhxTWJNdUhTQjNyd2FzZUZxS3JKTm9lQ2JrclBaUUd6eHJrMi0tTFVUR3JsdHg4eFVKSTQ4UkQ2d0d2azQ0RllDNllKbmZTWDlwQk9FUDV1OWI2SG1wRk5HQUZBYUpwcWM1NWV3ZWc3MHd6REFyZjIteW93WVJtaTZEWDdkMHJ5WGs5QQ?oc=5
